Player,Rook_Year,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG
Ochai Agbaji,2023,22,0.427,0.355,0.812,20.5,7.9,2.1,1.1
Patrick Baldwin Jr.,2023,20,0.394,0.381,0.667,7.3,3.9,1.3,0.4
Paolo Banchero,2023,20,0.427,0.298,0.738,33.8,20,6.9,3.7
Dominick Barlow,2023,19,0.535,0,0.72,14.6,3.9,3.6,0.9
MarJon Beauchamp,2023,22,0.395,0.331,0.73,13.5,5.1,2.2,0.7
Buddy Boeheim,2023,23,0.185,0.16,1,9,1.6,0.6,0.4
Jamaree Bouyea,2023,23,0.429,0.333,0.5,14.2,3,1.2,0.8
Malaki Branham,2023,19,0.44,0.302,0.829,23.5,10.2,2.7,1.9
Christian Braun,2023,21,0.495,0.354,0.625,15.5,4.7,2.4,0.8
Kendall Brown,2023,19,0.571,0,0.5,6.7,1.5,1,0.5
John Butler,2023,20,0.321,0.229,0.75,11.6,2.4,0.9,0.6
Jamal Cain,2023,23,0.561,0.35,0.773,13.3,5.4,2.9,0.7
Julian Champagnie,2023,21,0.454,0.402,0.824,18.8,9.7,3.5,0.6
Kennedy Chandler,2023,20,0.422,0.133,0.462,7.8,2.2,1.1,1.6
Max Christie,2023,19,0.415,0.419,0.875,12.5,3.1,1.8,0.5
Chance Comanche,2023,26,0.6,,0.25,21,7,3,0
Xavier Cooks,2023,27,0.607,0,0.4,12.6,3.8,3.8,0.6
Dyson Daniels,2023,19,0.418,0.314,0.65,17.7,3.8,3.2,2.3
Johnny Davis,2023,20,0.386,0.243,0.519,15.1,5.8,2.3,1
JD Davison,2023,20,0.421,0.286,0.5,5.5,1.6,0.8,0.9
Darius Days,2023,23,0.417,0.3,1,6.3,3.8,1.5,0.3
Moussa Diabaté,2023,21,0.511,0.5,0.625,8.9,2.7,2.3,0.2
Ousmane Dieng,2023,19,0.42,0.265,0.652,14.6,4.9,2.7,1.2
Jalen Duren,2023,19,0.648,0,0.611,24.9,9.1,8.9,1.1
Tari Eason,2023,21,0.448,0.343,0.752,21.5,9.3,6,1.1
Keon Ellis,2023,23,0.438,0.5,0.571,4.4,1.5,0.5,0.4
Simone Fontecchio,2023,27,0.369,0.33,0.795,14.7,6.3,1.7,0.8
Michael Foster Jr.,2023,20,,,,1,0,0,0
Jacob Gilyard,2023,24,0.333,0.333,,41,3,4,7
RaiQuan Gray,2023,23,0.5,0.4,1,35,16,9,7
A.J. Green,2023,23,0.424,0.419,1,9.9,4.4,1.3,0.6
AJ Griffin,2023,19,0.465,0.39,0.894,19.5,8.9,2.1,1
Jordan Hall,2023,21,0.321,0.2,0.778,9.2,3.1,1.3,1.2
Jaden Hardy,2023,20,0.438,0.404,0.823,14.8,8.8,1.9,1.4
Ron Harper Jr.,2023,22,0.5,0.333,1,5.3,2.2,0.8,0.4
Kevon Harris,2023,25,0.439,0.372,0.756,13.4,4.1,2.1,0.5
Caleb Houstan,2023,20,0.363,0.338,0.833,15.9,3.8,1.9,0.6
Trevor Hudgins,2023,23,0.222,0.25,1,5.6,1.8,0,0.6
Jaden Ivey,2023,20,0.416,0.343,0.747,31.1,16.3,3.9,5.2
Quenton Jackson,2023,24,0.452,0.083,0.773,15,6.2,0.9,1.7
Nikola Jović,2023,19,0.406,0.229,0.947,13.6,5.5,2.1,0.7
Johnny Juzang,2023,21,0.337,0.238,0.5,12.9,4.8,2.2,0.4
Trevor Keels,2023,19,0.25,0.25,,2.7,1,0.7,0
Walker Kessler,2023,21,0.72,0.333,0.516,23,9.2,8.4,0.9
Christian Koloko,2023,22,0.48,0.083,0.627,13.8,3.1,2.9,0.5
Jake LaRavia,2023,21,0.389,0.338,0.778,11.8,3,1.8,0.6
A.J. Lawson,2023,22,0.5,0.4,0.25,7.2,3.7,1.4,0.1
Kenneth Lofton Jr.,2023,20,0.527,0.353,0.593,7.3,5,2.1,0.8
Tyrese Martin,2023,23,0.391,0.143,1,4.1,1.3,0.8,0.1
Bennedict Mathurin,2023,20,0.434,0.323,0.828,28.5,16.7,4.1,1.5
Bryce McGowens,2023,20,0.396,0.325,0.75,17.1,5.3,2,1.2
Justin Minaya,2023,23,0.304,0.25,0,22.3,4.3,3.8,1
Josh Minott,2023,20,0.5,0.333,1,6.4,3.1,1.7,0.3
Isaiah Mobley,2023,23,0.429,0.375,1,6.5,2.4,1.5,0.2
Chima Moneke,2023,27,0.5,,0,4,1,1,0.5
Wendell Moore Jr.,2023,21,0.419,0.118,0.8,5.3,1.4,0.6,0.6
Keegan Murray,2023,22,0.453,0.411,0.765,29.8,12.2,4.6,1.2
Andrew Nembhard,2023,23,0.441,0.35,0.79,27.6,9.5,2.7,4.5
Scotty Pippen Jr.,2023,22,0.333,0.333,0.556,5.3,2.3,0.7,0.3
Jason Preston,2023,23,0.439,0.278,0,8.9,2.9,1.6,1.9
Lester Quinones,2023,22,0.4,0.5,0.667,4.5,2.5,0.8,0.5
Jared Rhoden,2023,23,0.386,0.25,1,14.1,3.2,2.6,0.3
Orlando Robinson,2023,22,0.528,0,0.71,13.7,3.7,4.1,0.8
David Roddy,2023,21,0.429,0.307,0.631,18,6.7,2.8,0.8
Ryan Rollins,2023,20,0.35,0.333,1,5.2,1.9,1,0.5
Dereon Seabron,2023,22,0.4,,,2.4,0.8,0.2,0
Shaedon Sharpe,2023,19,0.472,0.36,0.714,22.2,9.9,3,1.2
Dru Smith,2023,25,0.4,0.263,1,10.5,2.9,1.6,1.5
Jabari Smith Jr.,2023,19,0.408,0.307,0.786,31,12.8,7.2,1.3
Jeremy Sochan,2023,19,0.453,0.246,0.698,26,11,5.3,2.5
Cole Swider,2023,23,0.333,0.375,,5.9,1.3,1,0.6
Dalen Terry,2023,20,0.444,0.259,0.667,5.6,2.2,1,0.6
Stanley Umude,2023,23,0,0,1,2,2,0,0
Jabari Walker,2023,20,0.419,0.286,0.756,11.1,3.9,2.3,0.6
TyTy Washington Jr.,2023,21,0.363,0.238,0.556,14,4.7,1.5,1.5
Peyton Watson,2023,20,0.492,0.429,0.55,8.1,3.3,1.6,0.5
Blake Wesley,2023,19,0.321,0.385,0.591,18.1,5,2.2,2.7
Jack White,2023,25,0.421,0.333,0.667,3.9,1.2,1,0.2
Alondes Williams,2023,23,,,,5,0,1,0
Donovan Williams,2023,21,0.4,0,,2,2,1,0
Jalen Williams,2023,21,0.521,0.356,0.812,30.3,14.1,4.5,3.3
Jaylin Williams,2023,20,0.436,0.407,0.704,18.7,5.9,4.9,1.6
Jeenathan Williams,2023,23,0.615,0.375,0.667,25.4,10.6,3,2
Mark Williams,2023,21,0.637,,0.691,19.3,9,7.1,0.4
Vince Williams Jr.,2023,22,0.3,0.143,1,7,2,1,0.3
