Player,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG,AlternativeName,Rook_Year,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_Percent,2P_Percent,3P_Percent,FT_Percent,TS_Percent,eFG_Percent,Pos,Team,WS,ORtg,DRtg,OWS,DWS,WS_Per_48,OBPM,DBPM,BPM,VORP,PER,ORB_Percent,DRB_Percent,TRB_Percent,AST_Percent,STL_Percent,BLK_Percent,TOV_Percent,USG_Percent
Rafer Alston,23,0.284,0.214,0.75,13.4,2.2,0.9,2.6,alstora01,1999,1999-00,2009-10,23-33,671,452,28.9,3.7,9.5,2.2,5.3,1.5,4.2,1.3,1.8,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1,0.383,0.407,0.354,0.729,0.49,0.461,G,HOUMIAMILNJNORLTOR,32.9,102,105,10.3,22.6,0.081,-0.5,0.4,0,9.6,13.2,1.5,9.7,5.6,27.4,2.2,0.4,14.7,19.4
Chucky Atkins,25,0.424,0.35,0.729,19.8,9.5,1.5,3.7,atkinch01,1999,1999-00,2009-10,25-35,696,325,24.9,3.6,8.7,2.2,5,1.3,3.7,1.4,1.8,0.3,1.4,1.7,3.4,0.7,0.1,1.5,1.8,9.9,0.412,0.447,0.364,0.772,0.522,0.489,G,BOSDENDETLALMEMOKCORLWAS,61.1,102,103,19.9,41.3,0.093,0,1.2,1.2,25.4,14.8,4.3,12,8.1,14.5,2.9,1.2,12.2,21.3
William Avery,20,0.309,0.286,0.667,8.2,2.6,0.7,1.5,averywi01,1999,1999-00,2001-02,20-22,142,1,8.5,1,2.9,0.7,1.8,0.3,1.1,0.5,0.6,0.1,0.5,0.7,1.4,0.2,0,0.7,0.9,2.7,0.33,0.376,0.255,0.714,0.416,0.378,G,MIN,27.9,106,109,19.2,8.7,0.077,0.2,-1.3,-1.1,3.7,13.1,1.3,6.6,3.9,23.4,1.4,0.2,13.4,19.8
Jonathan Bender,19,0.329,0.167,0.667,5.4,2.7,0.9,0.1,bendejo01,1999,1999-00,2009-10,19-29,262,28,14.7,1.9,4.7,1.6,3.5,0.4,1.1,1.3,1.7,0.6,1.6,2.2,0.6,0.2,0.6,1,1.5,5.5,0.417,0.442,0.34,0.763,0.514,0.458,F,INDNYK,-0.9,86,107,-1.5,0.7,-0.034,-3.8,-1.9,-5.6,-1.1,7.3,1.6,7.3,4.5,24,1.5,0.4,18.9,21
Calvin Booth,23,0.348,,0.714,13,3.8,2.9,0.6,boothca01,1999,1999-00,2008-09,23-32,366,83,12.2,1.3,2.9,1.3,2.8,0,0,0.7,0.9,0.9,1.9,2.8,0.4,0.3,1,0.5,1.9,3.3,0.451,0.453,0.222,0.748,0.5,0.452,C,DALMILMINPHISACSEAWAS,3.8,96,105,0.2,3.6,0.047,-2.1,-0.5,-2.6,-0.6,10.9,4.6,12.4,8.6,7.4,0.6,3.2,15.4,19.9
Lazaro Borrell,27,0.444,0,0.545,9.8,3.6,2.4,0.6,borrela01,1999,1999-00,1999-00,27,17,6,9.8,1.6,3.7,1.6,3.5,0,0.2,0.4,0.6,0.8,1.5,2.4,0.6,0.4,0.2,0.4,0.5,3.6,0.444,0.467,0,0.545,0.457,0.444,F,SEA,8,104,104,3.1,4.9,0.086,-3,1.2,-1.8,0.3,12.4,8.2,18.1,13.1,5.2,1.2,6,13.1,13.9
Cal Bowdler,22,0.426,0,0.632,9.2,2.7,1.8,0.3,bowdlca01,1999,1999-00,2001-02,22-24,142,0,9.7,1.1,2.8,1.1,2.8,0,0.1,0.7,0.9,0.6,1.3,1.9,0.2,0.3,0.3,0.3,1.1,3,0.404,0.411,0.182,0.768,0.463,0.407,F,ATL,0.3,100,103,0.1,0.2,0.079,-0.3,-0.9,-1.2,0,15,9.1,17.3,13.1,9.7,1.8,1.3,8.1,19.5
Ryan Bowen,24,0.393,0.111,0.717,11.3,2.5,2.2,0.4,bowenry01,1999,1999-00,2009-10,24-34,507,85,12.8,1.1,2.4,1,2.2,0,0.1,0.4,0.6,1,1.1,2.1,0.5,0.6,0.3,0.3,1.5,2.6,0.456,0.472,0.206,0.693,0.496,0.462,F,DENHOUNOHOKC,1.8,100,106,0.6,1.2,0.061,-2.6,-0.6,-3.2,-0.4,11.3,7.3,14.8,11,3.3,1.6,2.3,8.6,16.2
Ira Bowman,26,1,,0.5,1.8,0.5,0.2,0.1,bowmair01,1999,1999-00,2001-02,26-28,17,0,4,0.4,0.6,0.4,0.6,0,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0,0.1,0.2,0.9,0.636,0.7,0,0.5,0.631,0.636,G,ATLPHI,12.4,109,104,5.3,7.1,0.092,-2.4,1.7,-0.8,2,10.5,8.6,10,9.3,6,2.6,1.6,11.2,10.4
A.J. Bramlett,23,0.19,,,7.6,1,2.8,0,bramlaj01,1999,1999-00,1999-00,23,8,0,7.6,0.5,2.6,0.5,2.6,0,0,0,0,1.5,1.3,2.8,0,0.1,0,0.4,1.6,1,0.19,0.19,,,0.19,0.19,C,CLE,0.2,121,104,0.1,0.1,0.12,0.5,2.9,3.4,0.1,13.4,1.6,6.6,4.1,19.1,2.4,0,14.4,9.2
Elton Brand,20,0.482,0,0.685,37,20.1,10,1.9,brandel01,1999,1999-00,2015-16,20-36,1058,868,33,6.2,12.5,6.2,12.4,0,0,3.4,4.7,3.1,5.4,8.5,2.1,0.9,1.7,1.9,2.9,15.9,0.5,0.501,0.095,0.736,0.548,0.501,F-C,ATLCHIDALLACPHI,-0.2,64,106,-0.2,0.1,-0.129,-9.2,-6.7,-15.9,-0.2,-0.4,21.7,18.5,20.1,0,0.8,0,12.5,17.1
Greg Buckner,23,0.476,0.385,0.683,19.2,5.7,3.6,1.1,buckngr01,1999,1999-00,2008-09,23-32,570,117,19.1,2,4.4,1.5,3.1,0.4,1.3,0.7,0.9,0.8,2,2.8,1.3,0.8,0.2,0.7,2.4,5,0.45,0.496,0.334,0.757,0.528,0.498,G,DALDENMEMMINPHI,109.6,110,104,65.8,43.8,0.151,1.9,0.4,2.2,37.3,20.5,11,19,15,11.7,1.4,3.9,11.8,22.8
Rodney Buford,22,0.411,0.241,0.727,11.4,4.3,1.4,0.6,buforro01,1999,1999-00,2004-05,22-27,230,38,18.2,2.7,6.7,2.4,5.6,0.3,1.1,0.6,0.8,0.5,2.1,2.6,0.8,0.5,0.1,0.6,1.4,6.4,0.412,0.433,0.3,0.758,0.457,0.436,G-F,MEMMIANJNPHISAC,20.9,108,105,9.6,11.2,0.092,-2,1,-0.9,3,10.7,4.8,12,8.4,10,2.2,0.8,12.6,13
Anthony Carter,24,0.395,0.13,0.75,23.5,6.3,2.5,4.8,cartean01,1999,1999-00,2011-12,24-36,623,181,19.6,2,4.9,1.8,4.1,0.2,0.7,0.7,1,0.4,1.7,2.1,3.8,1,0.2,1.5,1.8,4.8,0.404,0.432,0.25,0.706,0.454,0.423,G,DENMIAMINNYKSASTOR,2.9,94,106,-1,3.9,0.033,-2.9,-0.8,-3.8,-1.9,10,3.2,13.2,8.2,7.5,1.5,0.5,8,19.2
John Celestand,22,0.333,0.222,0.833,11.6,2.3,0.7,1.3,celesjo01,1999,1999-00,1999-00,22,16,0,11.6,0.9,2.8,0.8,2.3,0.1,0.6,0.3,0.4,0.1,0.6,0.7,1.3,0.4,0,1,1.4,2.3,0.333,0.361,0.222,0.833,0.388,0.356,G,LAL,10.4,94,104,-4.6,15,0.041,-2.7,0.8,-2,0.2,10.8,2.4,9.8,6.2,29.9,2.6,0.7,22.4,16.1
Vonteego Cummings,23,0.405,0.325,0.751,23.9,9.4,2.5,3.3,cummivo01,1999,1999-00,2001-02,23-25,199,23,19,2.6,6.8,2.1,5.1,0.5,1.7,1.2,1.6,0.6,1.3,1.9,2.7,0.9,0.2,1.3,1.9,6.9,0.383,0.404,0.321,0.726,0.461,0.423,G,GSWPHI,-0.1,74,102,-0.4,0.2,-0.038,-7.7,0.1,-7.6,-0.3,2.7,0.6,5.7,3.2,15.2,1.9,0,25.1,15.1
Baron Davis,20,0.42,0.225,0.634,18.6,5.9,2,3.8,davisba01,1999,1999-00,2011-12,20-32,835,692,34.2,5.9,14.3,4.3,9.3,1.6,5,2.8,3.9,0.9,2.9,3.8,7.2,1.8,0.4,2.8,2.8,16.1,0.409,0.456,0.32,0.711,0.502,0.465,G,CHHCLEGSWLACNOHNYK,2.2,97,108,0.5,1.7,0.028,-1.8,-0.6,-2.4,-0.3,11.8,3.1,7.6,5.2,23.1,2.4,0.6,14.7,19.8
Derrick Dial,24,0.37,0.25,0.6,11.9,5,3.3,0.6,dialde01,1999,1999-00,2003-04,24-28,82,0,8.4,1.3,3.4,1.2,2.9,0.1,0.5,0.5,0.7,0.5,1.1,1.6,0.8,0.3,0.1,0.4,0.6,3.1,0.372,0.404,0.19,0.672,0.418,0.386,G,NJNORLSASTOR,63.1,105,105,32.8,30.3,0.106,2.2,0.3,2.6,33.1,17.8,3,9.7,6.3,36.3,2.8,0.9,14.7,24.6
Obinna Ekezie,24,0.466,,0.672,9,3.2,2.4,0.2,ekeziob01,1999,1999-00,2004-05,24-29,143,32,10.6,1.2,2.7,1.2,2.7,0,0,1.3,1.7,1,1.7,2.7,0.2,0.3,0.2,0.7,1.8,3.6,0.423,0.424,0,0.72,0.51,0.423,F-C,ATLDALLACVANWAS,0.6,92,101,-0.3,0.9,0.045,-2,-0.2,-2.2,0,12.2,7.6,14.3,10.9,15.4,1.6,1.1,10.4,22.5
Evan Eschmeyer,24,0.528,,0.5,12,2.9,3.5,0.7,eschmev01,1999,1999-00,2002-03,24-27,153,65,14,1,2.2,1,2.2,0,0,0.7,1.1,1.4,2.5,3.9,0.5,0.5,0.6,0.6,2.6,2.8,0.463,0.463,,0.621,0.507,0.463,C,DALNJN,1.7,101,109,0.8,0.9,0.054,-3.7,-1.7,-5.4,-1.3,11.2,11,18.8,14.8,3.3,1.3,1.3,16,17.6
Jeff Foster,23,0.565,0,0.68,4.5,2.3,1.7,0.3,fosteje01,1999,1999-00,2011-12,23-35,764,345,20.6,1.9,3.9,1.9,3.8,0,0.1,1,1.7,2.8,4.1,6.9,0.9,0.7,0.4,0.8,2.5,4.9,0.497,0.504,0.13,0.615,0.531,0.498,F-C,IND,4,105,102,1.5,2.5,0.09,-3.6,0.6,-3,-0.5,10.6,11.4,20.6,15.9,5.4,1.7,3.3,18.8,10.8
Steve Francis,22,0.445,0.345,0.786,36.1,18,5.3,6.6,francst01,1999,1999-00,2007-08,22-30,576,543,37.6,6.2,14.4,5.2,11.4,1,2.9,4.8,6.1,1.7,3.9,5.6,6,1.5,0.4,3.5,3.1,18.1,0.429,0.451,0.341,0.797,0.533,0.463,G,HOUNYKORL,47.5,115,102,23.2,24.3,0.145,-0.7,0.2,-0.4,6.3,14.2,15.2,22.6,19,6.8,1.7,1.4,14.8,12
Devean George,22,0.389,0.34,0.659,7,3.2,1.5,0.2,georgde01,1999,1999-00,2009-10,22-32,630,108,18.5,2.1,5.3,1.4,3.4,0.7,2,0.8,1,0.9,2.3,3.1,0.9,0.7,0.4,0.7,2,5.6,0.392,0.421,0.343,0.721,0.485,0.456,G-F,DALGSWLAL,54.1,106,105,34.5,19.6,0.12,2.2,-0.1,2.2,22.7,18.3,5.2,11.8,8.6,28.4,2.1,0.7,17.2,25
Dion Glover,21,0.386,0.267,0.729,14.9,6.5,1.3,0.9,glovedi01,1999,1999-00,2004-05,21-26,294,105,20.9,3.1,7.6,2.6,6,0.5,1.6,1.5,1.9,0.7,2.3,3.1,1.5,0.8,0.2,1.3,1.7,8.2,0.411,0.436,0.317,0.756,0.487,0.445,G,ATLSASTOR,18.2,101,104,4.6,13.6,0.075,-1.8,0.2,-1.5,1.4,10.6,5.3,13.9,9.6,7,1.9,1.4,10.9,15.8
Adrian Griffin,25,0.424,0.281,0.753,26.8,6.7,5.2,2.5,griffad01,1999,1999-00,2007-08,25-33,477,179,16.8,1.6,3.8,1.5,3.4,0.1,0.4,0.6,0.8,1.1,2.1,3.2,1.4,0.9,0.1,0.7,1.8,4,0.438,0.455,0.278,0.763,0.488,0.452,G-F,BOSCHIDALHOUSEA,5.8,97,106,1.5,4.3,0.045,-1.2,-0.6,-1.8,0.3,12.8,4,12.5,8.3,13,2,0.8,13,21.1
Richard Hamilton,21,0.42,0.364,0.774,19.3,9,1.8,1.5,hamilri01,1999,1999-00,2012-13,21-34,921,783,32.1,6.5,14.4,5.9,12.8,0.6,1.7,3.5,4.1,0.9,2.2,3.1,3.4,0.8,0.1,2.1,2.5,17.1,0.449,0.463,0.346,0.852,0.525,0.469,G-F,CHIDETWAS,16.3,105,103,5.9,10.4,0.098,-1.6,1.8,0.2,4.5,11.8,7.1,14.4,10.8,12.2,2.8,0.6,14.4,12.9
Chris Herren,24,0.363,0.358,0.675,13.3,3.1,1.2,2.5,herrech01,1999,1999-00,2000-01,24-25,70,8,14.4,1.1,3.1,0.5,1.4,0.6,1.7,0.5,0.7,0.2,0.8,1,2.4,0.4,0,0.9,1.7,3.2,0.336,0.347,0.328,0.692,0.461,0.427,G,BOSDEN,62.8,105,108,39.8,23,0.102,0.8,-1.1,-0.2,13.2,16.5,3.1,8.3,5.7,19.9,1.3,0.3,11.7,26.8
Derek Hood,23,0,,,2,0,0.5,0,hoodde01,1999,1999-00,1999-00,23,2,0,2,0,1.5,0,1.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,,,0,0,F,CHH,0.5,97,109,0.1,0.4,0.025,-3.1,-1.4,-4.5,-0.6,7.8,1.7,6.4,4,24.8,1.5,0.1,20.3,13.4
Rick Hughes,26,0.486,0,0.462,10.7,3.9,2.3,0.4,hugheri02,1999,1999-00,1999-00,26,21,0,10.7,1.7,3.4,1.7,3.4,0,0,0.6,1.2,1.1,1.2,2.3,0.4,0.1,0,0.7,1.4,3.9,0.486,0.493,0,0.462,0.491,0.486,F,DAL,-0.1,0,103,-0.1,0,-0.738,-18.9,-10.6,-29.5,0,-24.2,0,27.5,14.1,0,0,0,0,33.6
Jermaine Jackson,23,0.091,0,0.625,10.4,1,1.6,0.6,jacksje01,1999,1999-00,2005-06,23-29,135,3,10,0.7,1.6,0.6,1.5,0,0.1,0.6,0.8,0.3,0.8,1.1,1.4,0.3,0.1,0.6,0.9,1.9,0.401,0.424,0.158,0.711,0.481,0.408,G,ATLDETMILNYKTOR,0.1,98,110,0.1,0.1,0.029,-2.4,-2.6,-5,-0.2,10.9,11.6,11.9,11.8,6.1,0.7,0.3,14.4,19.2
Tim James,23,0.357,,0.333,5.8,2.8,1,0.5,jamesti01,1999,1999-00,2001-02,23-25,43,0,6.1,0.6,1.8,0.6,1.8,0,0.1,0.3,0.5,0.5,0.5,1.1,0.3,0,0.2,0.3,0.8,1.6,0.329,0.329,0.333,0.652,0.382,0.335,F,CHHMIAPHI,1,99,109,0.3,0.7,0.036,-3.4,0,-3.4,-0.5,8.8,2.9,9.7,6.2,20.6,1.7,0.5,22.3,11.9
Harold Jamison,23,0.35,,0.222,6.2,1.5,1.8,0.3,jamisha01,1999,1999-00,2001-02,23-25,37,2,6.8,0.8,1.7,0.8,1.7,0,0,0.4,0.9,1.1,0.5,1.6,0.3,0.2,0.1,0.3,1.1,1.9,0.46,0.46,,0.424,0.464,0.46,F,LACMIA,0,86,104,-0.3,0.3,-0.003,-5.5,-1.5,-7,-0.3,6.3,10.2,10,10.1,7,0.4,2.5,12.7,18
DeMarco Johnson,24,0.333,,,7.4,1.2,1.4,0,johnsde02,1999,1999-00,1999-00,24,5,0,7.4,0.6,1.8,0.6,1.8,0,0,0,0,0.6,0.8,1.4,0,0.2,0,0.6,1,1.2,0.333,0.333,,,0.333,0.333,F,NYK,0.4,106,107,0.3,0.2,0.084,-1.7,-1.5,-3.2,-0.1,11.7,18.8,8.9,13.7,6.3,1.5,0.6,11.4,16
Jumaine Jones,20,0.379,0.5,0.611,4.2,1.7,1.2,0.2,jonesju01,1999,1999-00,2006-07,20-27,471,115,20.8,2.7,6.5,1.8,3.9,0.9,2.6,0.7,0.9,1.2,3,4.2,0.9,0.7,0.3,0.8,1.8,7.1,0.424,0.474,0.349,0.704,0.512,0.494,F,BOSCHACLELALPHIPHO,-0.1,64,103,-0.1,0,-0.091,-9.6,-0.7,-10.3,-0.1,0.5,9.9,12.4,11.2,0,1.5,0,25,15.4
Lari Ketner,22,0.406,,0.667,6,1.5,1.5,0,ketnela01,1999,1999-00,2000-01,22-23,25,0,5.6,0.5,1.3,0.5,1.3,0,0,0.3,0.5,0.5,0.9,1.4,0.1,0.2,0.1,0.5,0.8,1.4,0.406,0.406,,0.667,0.456,0.406,F-C,CHICLEIND,15.1,104,107,7.4,7.7,0.074,-0.5,-0.7,-1.2,2.1,12.5,6.4,17,11.6,7,1.6,1.1,10.7,16.6
Trajan Langdon,23,0.375,0.421,1,14.5,4.9,1.5,1.1,langdtr01,1999,1999-00,2001-02,23-25,119,5,14.6,1.8,4.4,1.1,2.6,0.7,1.8,1,1.1,0.2,1.1,1.3,1.3,0.5,0.1,0.8,1.5,5.4,0.416,0.429,0.396,0.91,0.551,0.497,G,CLE,0,82,103,-0.2,0.2,-0.015,-6,-1.4,-7.4,-0.2,6.2,9.5,18.2,13.8,2.3,1.5,1.6,24.4,15.7
Quincy Lewis,22,0.372,0.365,0.731,12.1,3.8,1.5,0.5,lewisqu01,1999,1999-00,2003-04,22-26,159,21,11.7,1.5,3.7,1.2,3,0.2,0.7,0.4,0.6,0.4,0.9,1.3,0.6,0.4,0.2,0.6,2.1,3.6,0.397,0.412,0.333,0.71,0.454,0.429,F,MINUTA,2.9,107,108,2.1,0.7,0.079,-0.6,-0.5,-1.1,0.4,12.2,1.9,8.7,5.3,14.4,1.7,0.6,14.3,17.9
Todd MacCulloch,24,0.553,,0.519,9.4,3.7,2.6,0.2,maccuto01,1999,1999-00,2002-03,24-27,223,105,15.4,2.5,4.7,2.5,4.7,0,0,1,1.6,1.5,2.5,4,0.5,0.3,0.8,0.7,2.1,6.1,0.541,0.541,,0.642,0.566,0.541,C,NJNPHI,0.8,91,105,-0.9,1.7,0.02,-4.7,-0.2,-4.9,-1.4,6.7,4.8,9,6.9,8.4,1.7,1.5,13.6,17.9
Corey Maggette,20,0.478,0.182,0.751,17.8,8.4,3.9,0.8,maggeco01,1999,1999-00,2012-13,20-33,827,478,28.2,4.9,10.8,4.4,9.1,0.6,1.7,5.6,6.8,1.1,3.8,4.9,2.1,0.7,0.2,2.3,2.8,16,0.453,0.478,0.324,0.822,0.577,0.479,F,CHADETGSWLACMILORL,11.9,113,100,6.5,5.4,0.166,-0.3,0.6,0.3,2,16.9,11.1,18.2,14.6,5.9,0.9,3.8,11.3,17.7
Shawn Marion,21,0.471,0.182,0.847,24.7,10.2,6.5,1.4,mariosh01,1999,1999-00,2014-15,21-36,1163,1062,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,0.484,0.513,0.331,0.81,0.542,0.51,F,CLEDALMIAPHOTOR,62.2,110,109,46.2,15.9,0.128,1.3,-1,0.3,13.3,17.9,4.5,15.2,9.9,12.8,1.3,0.4,14.1,25.7
Andre Miller,23,0.449,0.204,0.774,25.5,11.1,3.4,5.8,millean02,1999,1999-00,2015-16,23-39,1304,939,30.9,4.6,10,4.5,9.4,0.1,0.7,3.1,3.8,1.1,2.6,3.7,6.5,1.2,0.2,2.4,2.2,12.5,0.461,0.478,0.217,0.807,0.532,0.468,G,CLEDENLACMINPHIPORSACSASWAS,124.9,110,102,63.6,61.3,0.15,1.7,1,2.7,47.6,18.8,7.8,20.5,14.3,9.1,2.3,2.2,9.7,20.4
Jason Miskiri,24,0,0,,3,0,0,1,miskija01,1999,1999-00,1999-00,24,1,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,,0,,0,0,G,CHH,100.8,110,108,69.5,31.2,0.12,1.5,-0.2,1.3,33.4,17.4,4,9.9,6.9,34.7,2,0.4,16.9,20.6
