Player,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG,-9999,Rook_Year,WS_Rk,WS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_Percent,2P_Percent,3P_Percent,FT_Percent,TS_Percent,eFG_Percent,Pos,Team,ORtg,DRtg,OWS,DWS,WS_Per_48,OBPM,DBPM,BPM,VORP,PER,ORB_Percent,DRB_Percent,TRB_Percent,AST_Percent,STL_Percent,BLK_Percent,TOV_Percent,USG_Percent
Tony Allen,23,0.475,0.387,0.737,16.4,6.4,2.9,0.8,allento01,2005,187,38.7,2004-05,2017-18,23-36,820,441,22,3.2,6.6,3,6.1,0.2,0.5,1.7,2.3,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1,0.475,0.492,0.282,0.709,0.529,0.487,G-F,BOSMEMNOP,103,102,9.1,29.6,0.103,-1.6,1.9,0.3,10.4,14.2,6.6,12.1,9.4,9.6,3.4,1.5,15.1,18.7
Rafael Ara?jo,24,0.434,0.333,0.782,12.5,3.3,3.1,0.3,araujra01,2005,1965,-0.4,2004-05,2006-07,24-26,139,75,11.4,1.1,2.8,1.1,2.7,0,0,0.5,0.8,0.9,1.9,2.8,0.3,0.4,0.1,0.8,2.2,2.8,0.405,0.407,0.25,0.679,0.448,0.406,C,TORUTA,87,108,-1.7,1.3,-0.013,-6.2,-0.9,-7.2,-2.1,6.3,9,20.7,14.7,3.9,1.7,0.8,20.4,15.7
Trevor Ariza,19,0.442,0.231,0.695,17.3,5.9,3,1.1,arizatr01,2005,69,64.3,2004-05,2021-22,19-36,1118,769,29.5,3.7,8.8,2.3,4.7,1.4,4.1,1.5,2.1,1,3.8,4.8,2.1,1.5,0.3,1.3,2,10.4,0.422,0.484,0.351,0.731,0.535,0.504,F,HOULALMIANOHNYKORLPHOPORSACWAS,107,106,24.9,39.4,0.094,-0.3,1,0.6,21.8,13.1,3.8,14.8,9.3,11,2.5,0.9,12,16.6
Maurice Baker,25,0,0,0,3.8,0,0.4,0.2,bakerma01,2005,1701,0,2004-05,2004-05,25-25,5,0,3.8,0,0.2,0,0.2,0,0,0,0,0.2,0.2,0.4,0.2,0.2,0,0.2,0.6,0,0,0,,,0,0,G,LACPOR,48,109,0,0,-0.057,-8.7,1.6,-7.1,0,-0.2,6.3,5.8,6.1,7.2,2.8,0,50,4.8
Andre Barrett,22,0.363,0.269,0.737,12.7,3.1,1.1,1.8,barrean01,2005,1330,0.4,2004-05,2007-08,22-25,67,1,12.2,1.3,3.6,1.1,2.6,0.3,1,0.4,0.5,0.3,0.7,1.1,2,0.4,0,0.7,1,3.3,0.369,0.419,0.246,0.727,0.429,0.405,G,CHIHOULACORLPHOTOR,96,109,-0.2,0.6,0.021,-2.6,-0.5,-3.1,-0.2,9.6,3,7.1,5.1,26,1.9,0.1,15.5,16.9
Andris Biedri??,18,0.577,0,0.475,12.8,3.6,3.9,0.4,biedran01,2005,240,30.7,2004-05,2013-14,18-27,516,311,21.6,2.8,4.7,2.8,4.7,0,0,0.7,1.5,2.3,4.7,7,0.9,0.6,1.1,0.9,3.2,6.3,0.594,0.595,0,0.5,0.591,0.594,C,GSWUTA,117,105,16.7,14,0.132,-1.1,0.7,-0.4,4.6,15.3,11.5,24.5,17.9,6.1,1.5,3.8,14.9,12.4
Tony Bobbitt,25,0.4,0.5,0,6,2.5,1.5,0,bobbito01,2005,1622,0,2004-05,2004-05,25-25,2,0,6,1,2.5,0.5,1.5,0.5,1,0,0,0,1.5,1.5,0,0,0,0,0.5,2.5,0.4,0.333,0.5,,0.5,0.5,G,LAL,106,111,0,0,0.059,-2.1,-2,-4.1,0,11.7,0,28,14.1,0,0,0,0,18.8
Matt Bonner,24,0.533,0.424,0.789,18.9,7.2,3.5,0.6,bonnema01,2005,189,38.5,2004-05,2015-16,24-35,792,112,16.9,2.2,4.8,1.2,2.3,1,2.4,0.4,0.5,0.8,2.2,3,0.7,0.4,0.3,0.4,1.7,5.8,0.464,0.516,0.414,0.78,0.585,0.57,F,SASTOR,119,106,23.8,14.6,0.138,0.8,0.2,1,10.1,13.6,5.5,15.1,10.4,6.3,1.1,1.2,7,14.8
Antonio Burks,24,0.467,0.273,0.737,9.1,3,0.5,1.2,burksan01,2005,1517,0.1,2004-05,2005-06,24-25,81,1,9.7,1,2.5,0.9,2.3,0,0.2,0.3,0.5,0.1,0.5,0.6,1.3,0.4,0,0.6,0.9,2.3,0.387,0.401,0.235,0.571,0.418,0.397,G,MEM,87,105,-0.9,1,0.004,-5.3,0.4,-5,-0.6,7.2,0.8,6.7,3.8,22.1,2.3,0.1,17.7,16.5
Jackie Butler,19,1,0,1,1.7,3.3,0,0,butleja01,2005,1079,1.4,2004-05,2006-07,19-21,69,2,12.3,2,3.7,2,3.7,0,0,1,1.3,1.1,1.9,3,0.4,0.3,0.4,1.1,2.1,5,0.539,0.539,,0.775,0.585,0.539,F-C,NYKSAS,105,108,0.7,0.7,0.082,-2.3,-0.8,-3.1,-0.3,14.6,10.4,19,14.7,6.3,1.2,3,19.9,19.7
Geno Carlisle,28,0.667,0,0.667,2.7,1.3,0.2,0.2,carlige01,2005,1537,0.1,2004-05,2004-05,28-28,6,0,2.7,0.3,0.5,0.3,0.5,0,0,0.7,1,0.2,0,0.2,0.2,0,0,0.2,0.2,1.3,0.667,0.667,,0.667,0.709,0.667,G,POR,131,118,0.1,0,0.173,2.9,-2.3,0.6,0,18.1,7.5,0,3.6,10.3,0,0,15.1,19.1
Lionel Chalmers,24,0.336,0.245,0.625,12,3.1,0.9,1.4,chalmli01,2005,1917,-0.2,2004-05,2004-05,24-24,36,0,12,1.2,3.5,0.8,2.1,0.3,1.4,0.4,0.7,0.1,0.8,0.9,1.4,0.4,0,0.7,0.8,3.1,0.336,0.395,0.245,0.625,0.409,0.384,G,LAC,87,110,-0.5,0.2,-0.025,-3.9,-1.4,-5.3,-0.4,6.5,1.1,7.3,4.3,18.6,1.6,0,15,17
Josh Childress,21,0.47,0.232,0.823,29.7,10.1,6,1.9,childjo01,2005,298,25.7,2004-05,2013-14,21-30,391,70,26.7,3.4,6.6,3.2,5.8,0.3,0.8,2,2.5,1.9,2.9,4.7,1.6,0.9,0.5,1.1,1.9,9.1,0.522,0.548,0.329,0.779,0.591,0.542,G-F,ATLBRKNOPPHO,118,110,19.7,6,0.118,1.1,-0.3,0.8,7.4,15.6,8.1,12.9,10.4,9.5,1.7,1.3,12.8,15
Nick Collison,24,0.537,0,0.703,17,5.6,4.6,0.4,collini01,2005,143,44.5,2004-05,2017-18,24-37,910,177,20.4,2.4,4.6,2.4,4.4,0,0.1,1,1.4,1.9,3.2,5.2,1,0.5,0.5,1,2.8,5.9,0.534,0.542,0.208,0.723,0.57,0.536,F,OKCSEA,115,107,26.4,18.1,0.115,-1.4,0.1,-1.3,3.1,13.2,11.1,17.9,14.5,7.6,1.2,1.9,15.7,13.4
